" 
Nome",NIF,Tipo Entidade,Escalão Dívida
A.BLACK-COMERCIO E INDUSTRIA S.A. -EM LIQUIDAÇÃO,500000468,Pessoa Coletiva,10000 a 50000
A CHAVE PRATA LD,500000964,Pessoa Coletiva,10000 a 50000
A DUARTE GOMES F LD,500001502,Pessoa Coletiva,10000 a 50000
"A.FERREIRA DA COSTA & IRMÃO, LDA",500001898,Pessoa Coletiva,10000 a 50000
"A. GASPAR, LDA.",500002150,Pessoa Coletiva,10000 a 50000
"A INDUSTRIAL DE CONSTRUCOES CRUZ & CRUZ, LDA",500002479,Pessoa Coletiva,10000 a 50000
"A.LOURENCO PEREIRA, LDA.",500003009,Pessoa Coletiva,10000 a 50000
A PEREIRA & SANTOS LDA,500004170,Pessoa Coletiva,10000 a 50000
A RODRIGUES PEREIRA FS LD,500004730,Pessoa Coletiva,10000 a 50000
A ROSA I LD,500004749,Pessoa Coletiva,10000 a 50000
"A. SOUSA & LIMA, LDA.",500005290,Pessoa Coletiva,10000 a 50000
A.VITORINO LDA - EM LIQUIDAÇÃO,500005940,Pessoa Coletiva,10000 a 50000
"LEONEL CARVALHO-CONSTRUÇÕES LDA, EM LIQUIDAÇÃO",500006016,Pessoa Coletiva,10000 a 50000
ACACIO E LEMOS LDA,500007306,Pessoa Coletiva,10000 a 50000
"ADEGA COOPERATIVA DE TOMAR CRL, EM LIQUIDAÇÃO",500008817,Pessoa Coletiva,10000 a 50000
AFONSO GARCIA LDA - EM LIQUIDAÇÃO,500010218,Pessoa Coletiva,10000 a 50000
CELTA -TOURS- VIAGENS E TRANSPORTES LDA,500010943,Pessoa Coletiva,10000 a 50000
"POLAR - AGÊNCIA DE VIAGENS E TURISMO, LDA.",500010951,Pessoa Coletiva,10000 a 50000
AGENCIA DE VIAGENS E TURISMO TERRA NOVA LD,500010978,Pessoa Coletiva,10000 a 50000
AGROMINAS IND SIDERURGICA AGRICOLA MINEIRA LD,500011869,Pessoa Coletiva,10000 a 50000
ALBERTO DA CUNHA LD,500013160,Pessoa Coletiva,10000 a 50000
"ALBERTO INACIO DA CONCEIÇÃO & CA., LDA",500013306,Pessoa Coletiva,10000 a 50000
"ALBERTO SOLEDADE BRANCANA & FILHOS, LDA.",500013624,Pessoa Coletiva,10000 a 50000
ALBINO DOS SANTOS ARAUJO & CA. S A,500013969,Pessoa Coletiva,10000 a 50000
ALBOS TRACTORES DO ALGARVE LD,500014043,Pessoa Coletiva,10000 a 50000
ALBUQUERQUE & MARTINS LD,500014086,Pessoa Coletiva,10000 a 50000
ALCAPE FABRICA PORTUGUESA TAMPAS METALICAS LDA,500014183,Pessoa Coletiva,10000 a 50000
ALDIFLOR MOVEIS DECORACOES ELECTRODOMESTICOS LD,500014434,Pessoa Coletiva,10000 a 50000
ALFREDO MACEDO FIGUEIREDO & COMP LD,500015490,Pessoa Coletiva,10000 a 50000
ALMEIDA E DURAO F LD,500016380,Pessoa Coletiva,10000 a 50000
ALMERINDO ROLDAO ARAUJOS LD,500017131,Pessoa Coletiva,10000 a 50000
"ALTINO & SERAFIM, UNIPESSOAL LDA",500017425,Pessoa Coletiva,10000 a 50000
ALTINO FS LD,500017441,Pessoa Coletiva,10000 a 50000
"GAIATAFLOR 2, UNIPESSOAL LDA.",500018529,Pessoa Coletiva,10000 a 50000
ANDRADE E GOMES LD,500020906,Pessoa Coletiva,10000 a 50000
ANDRELO SOC CONSTRUCOES LD,500021112,Pessoa Coletiva,10000 a 50000
"ANHAS - COMERCIO DE AUTOMOVEIS E EQUIPAMENTOS, LDA",500021481,Pessoa Coletiva,10000 a 50000
"ANODAL - ANODISAÇÃO DE ALUMÍNIOS LDA, EM LIQUIDAÇÃO",500021830,Pessoa Coletiva,10000 a 50000
"ANTAO SANTOS & MARTINS, LDA.",500022003,Pessoa Coletiva,10000 a 50000
"ANTECIPAÇÃO-LIVRARIA E DISCOTECA LDA, EM LIQUIDAÇÃO",500022038,Pessoa Coletiva,10000 a 50000
"ANTÓNIO BRANDÃO FERREIRA SERRANO & F S, LDA.",500023115,Pessoa Coletiva,10000 a 50000
ANTONIO EUSEBIO PINTO FS,500023751,Pessoa Coletiva,10000 a 50000
ANTONIO G PINTO FREITAS LD,500024138,Pessoa Coletiva,10000 a 50000
ANTONIO GOMES PEREIRA LD,500024243,Pessoa Coletiva,10000 a 50000
"ANTONIO P. DA SILVA, LDA.",500025720,Pessoa Coletiva,10000 a 50000
ANTONIO SILVA & NUNES LD,500026505,Pessoa Coletiva,10000 a 50000
"ANTOPEL - SOC COMERCIAL DE REPRESENTAÇÕES, LD",500026998,Pessoa Coletiva,10000 a 50000
APIS SOCIEDADE INDUSTRIAL PARQUETES AZARUJENSE SA,500027390,Pessoa Coletiva,10000 a 50000
